time,strain,strain_rate,stress,stress_eta1,stress_maxwell_branch
0.0,0.0,0.0001,4970.716710993134,5000.0,0.0
0.12506253126563283,1.2506253126563282e-05,0.0001,5039.400362802945,5000.0,12.498436067278634
0.25012506253126565,2.5012506253126565e-05,0.00010000000000000002,5032.614179883943,5000.000000000001,24.98125104425003
0.3751875937968985,3.751875937968985e-05,0.0001,4996.818379688289,5000.0,37.44846445476024
0.5002501250625313,5.002501250625313e-05,0.00010000000000000002,5034.2932048849325,5000.000000000001,49.900095798221045
0.6253126563281641,6.253126563281642e-05,0.00010000000000000002,5106.881236552417,5000.000000000001,62.336164549757356
0.750375187593797,7.50375187593797e-05,9.999999999999999e-05,5009.300586219143,5000.0,74.75669016020721
0.8754377188594298,8.754377188594298e-05,9.999999999999999e-05,5075.592404647215,5000.0,87.16169205612182
1.0005002501250626,0.00010005002501250626,0.00010000000000000005,5133.697958545546,5000.000000000002,99.55118963976548
1.1255627813906954,0.00011255627813906955,0.00010000000000000005,5088.546154557922,5000.000000000002,111.92520228952635
1.2506253126563283,0.00012506253126563283,9.999999999999994e-05,5105.971793816817,4999.999999999997,124.28374939385331
1.375687843921961,0.0001375687843921961,9.999999999999999e-05,5134.0722151381215,5000.0,136.62685029716147
1.500750375187594,0.0001500750375187594,0.0001000000000000001,5189.182566237586,5000.000000000005,148.95452429507873
1.6258129064532267,0.0001625812906453227,9.999999999999999e-05,5144.033348862054,5000.0,161.2667906599363
1.7508754377188596,0.00017508754377188596,9.999999999999999e-05,5161.587908194606,5000.0,173.5636686407687
1.8759379689844924,0.00018759379689844925,9.999999999999999e-05,5174.12919055601,5000.0,185.84517746331358
2.001000500250125,0.00020010005002501252,0.0001000000000000001,5257.61305629351,5000.000000000005,198.11133633001202
2.1260630315157583,0.00021260630315157584,0.0001000000000000001,5269.347503305015,5000.000000000005,210.36216442000836
2.251125562781391,0.0002251125562781391,9.999999999999977e-05,5249.680558233116,4999.999999999989,222.59768088915007
2.3761880940470235,0.00023761880940470235,9.999999999999999e-05,5245.234715065994,5000.0,234.81790486998804
2.5012506253126565,0.00025012506253126567,0.00010000000000000021,5266.912288439967,5000.00000000001,247.02285547177644
2.6263131565782896,0.00026263131565782896,9.999999999999988e-05,5299.4228559846915,4999.9999999999945,259.21255178047267
2.751375687843922,0.0002751375687843922,9.999999999999988e-05,5246.14427048621,4999.9999999999945,271.38701285873725
2.8764382191095548,0.0002876438219109555,0.0001000000000000001,5315.262517066872,5000.000000000005,283.5462577459342
3.001500750375188,0.0003001500750375188,0.0001000000000000001,5261.868718389582,5000.000000000005,295.6903054581309
3.126563281640821,0.0003126563281640821,0.0001000000000000001,5290.616766080203,5000.000000000005,307.8191749880976
3.2516258129064535,0.0003251625812906454,9.999999999999988e-05,5344.400713982473,4999.9999999999945,319.9328853053083
3.376688344172086,0.0003376688344172086,9.999999999999988e-05,5293.49489447044,4999.9999999999945,332.0314553559397
3.501750875437719,0.0003501750875437719,0.0001000000000000001,5340.336756319402,5000.000000000005,344.11490406287254
3.626813406703352,0.0003626813406703352,0.0001000000000000001,5332.93867929774,5000.000000000005,356.1832503256901
3.7518759379689848,0.0003751875937968985,9.999999999999988e-05,5361.34155641182,4999.9999999999945,368.2365130206793
3.8769384692346174,0.00038769384692346174,9.999999999999988e-05,5304.786885457293,4999.9999999999945,380.27471100083045
4.00200100050025,0.00040020010005002504,0.00010000000000000032,5344.513362800009,5000.0000000000155,392.2978630958367
4.1270635317658835,0.0004127063531765884,0.00010000000000000032,5385.427828941074,5000.0000000000155,404.3059881120951
4.2521260630315165,0.0004252126063031517,9.999999999999967e-05,5441.316040012691,4999.999999999984,416.2991048327052
4.377188594297149,0.00043771885942971487,9.999999999999988e-05,5423.593664821044,4999.9999999999945,428.27723201747045
4.502251125562782,0.0004502251125562782,0.00010000000000000032,5440.317152799054,5000.0000000000155,440.2403884028975
4.627313656828415,0.0004627313656828415,9.999999999999967e-05,5470.752388240944,4999.999999999984,452.1885927021959
4.752376188094047,0.0004752376188094047,9.999999999999988e-05,5440.397664189678,4999.9999999999945,464.1218636052787
4.87743871935968,0.00048774387193596804,0.00010000000000000032,5483.690649739063,5000.0000000000155,476.0402197787624
5.002501250625313,0.0005002501250625313,0.00010000000000000032,5466.220102404855,5000.0000000000155,487.94367986596654
5.127563781890946,0.0005127563781890947,0.0001000000000000001,5453.230918575952,5000.000000000005,499.83226248691415
5.252626313156579,0.0005252626313156579,9.999999999999967e-05,5501.162039154976,4999.999999999984,511.7059862383309
5.377688844422211,0.0005377688844422212,9.999999999999967e-05,5539.042438999025,4999.999999999984,523.5648696936469
5.502751375687844,0.0005502751375687844,0.0001000000000000001,5544.5418731281525,5000.000000000005,535.4089314029945
5.627813906953477,0.0005627813906953478,0.0001000000000000001,5546.919079702451,5000.000000000005,547.2381898932097
5.7528764382191095,0.000575287643821911,9.999999999999967e-05,5623.583198528803,4999.999999999984,559.0526636678317
5.877938969484743,0.0005877938969484742,0.0001000000000000001,5581.990069507073,5000.000000000005,570.8523712071031
6.003001500750376,0.0006003001500750376,0.00010000000000000053,5609.037295409082,5000.000000000026,582.6373309679698
6.128064032016009,0.0006128064032016009,0.0001000000000000001,5654.778186549561,5000.000000000005,594.4075613840809
6.253126563281642,0.0006253126563281642,9.999999999999967e-05,5571.257032342025,4999.999999999984,606.1630808657883
6.378189094547274,0.0006378189094547274,0.0001000000000000001,5589.884123461101,5000.000000000005,617.9039078001482
6.503251625812907,0.0006503251625812908,0.0001000000000000001,5676.664133538404,5000.000000000005,629.6300605509193
