time,strain,strain_rate,stress
0.0,0.0,0.06283185307179587,0.0
0.01,0.0006282151815625659,0.06280084934519571,0.12560169869039142
0.02,0.0012558103905862675,0.06270786876233027,0.24599336826743629
0.03,0.0018821662663702863,0.06255300308380916,0.36125963970435715
0.04,0.0025066646712860853,0.06233640514335992,0.4714820644029027
0.05,0.0031286893008046174,0.06205828869699957,0.5767393592207857
0.06,0.003747626291714492,0.06171892821208328,0.6771076412761208
0.07,0.004362864827930852,0.06131865859643817,0.7726606528179523
0.08,0.004973797743297096,0.06085787486784973,0.8634699764409336
0.09,0.005579822120784585,0.06033703176422701,0.9496052409117502
0.1,0.0061803398874989484,0.059756643294831116,1.0311343178649426
0.11,0.006774758404905827,0.05911728223301021,1.1081235096163653
0.12,0.007362491053693559,0.0584195795509413,1.1806377283335934
0.13,0.007942957812695613,0.05766422379693692,1.2487406667941234
0.14,0.008515585831301454,0.05685196041593107,1.3124949609542207
0.15,0.009079809994790935,0.05598359101381506,1.371962344543682
0.16,0.009635073482034308,0.05505997256634927,1.4272037958946333
0.17,0.010180828315007426,0.054082016573431535,1.478279677205711
0.18,0.010716535899579934,0.05305068815955682,1.525249866436596
0.19,0.011241667557042612,0.05196700512135582,1.5681738820218438
0.2,0.011755705045849463,0.0508320369231526,1.6071110005872753
0.21,0.012258141073059527,0.049646903641532424,1.6421203678468492
0.22,0.012748479794973793,0.04841277485996137,1.673261102852898
0.23,0.013226237306473036,0.047130868514548674,1.7005923957678795
0.24,0.013690942118573773,0.04580244969209084,1.724173599321346
0.25,0.014142135623730952,0.04442882938158367,1.7440643141116596
0.26,0.014579372548428232,0.04301136318043444,1.760324467908062
0.27,0.015002221392609193,0.04155144995665095,1.7730143891050414
0.28,0.015410264855515785,0.040050530468327586,1.782194874477495
0.29,0.015803100247513805,0.03851008594179113,1.7879272513819773
0.3,0.016180339887498948,0.03693163660980914,1.7902734345463165
0.31,0.016541611485491235,0.035316740211303786,1.7892959775870714
0.32,0.0168865585100403,0.033666990454051596,1.7850581193916917
0.33,0.017214840540078873,0.031984015441886275,1.7776238254997965
0.34,0.017526133600877274,0.030269476067956796,1.7670578246157183
0.35000000000000003,0.017820130483767356,0.028525064375626383,1.7534256403823423
0.36,0.018096541049320392,0.02675250188862998,1.7367936185443085
0.37,0.018355092513679623,0.024953537912138186,1.7172289496268125
0.38,0.018595529717765027,0.02312994780640427,1.6947996872545485
0.39,0.01881761537908451,0.02128353123469786,1.6695747622337622
0.4,0.019021130325903073,0.01941611038725467,1.641623992518921
0.41000000000000003,0.01920587371353886,0.017529528182994674,1.6110180891841537
0.42,0.01937166322257262,0.01562564645078366,1.5778286585183547
0.43,0.019518335238774946,0.01370634409203287,1.5421282003616863
0.44,0.019645745014573772,0.011773515226450216,1.5039901028001192
0.45,0.019753766811902756,0.009829067322772776,1.46348863333366
0.46,0.019842294026289557,0.007874919316325439,1.4206989266329646
0.47000000000000003,0.0199112392920616,0.00591299971526342,1.3756969689981728
0.48,0.019960534568565433,0.003945244697367557,1.328559579632981
0.49,0.019990131207314632,0.0019735961992705417,1.2793643888462027
0.5,0.02,3.8473413874435805e-18,1.2281898132923545
0.51,0.019990131207314632,-0.0019735961992705343,1.1751150283621192
0.52,0.019960534568565433,-0.003945244697367549,1.1202199378328994
0.53,0.0199112392920616,-0.005912999715263426,1.0635851408890566
0.54,0.019842294026289557,-0.007874919316325446,1.0052918966208435
0.55,0.019753766811902752,-0.009829067322772785,0.9454220861104642
0.56,0.019645745014573772,-0.011773515226450221,0.8840581722131452
0.5700000000000001,0.01951833523877495,-0.013706344092032861,0.8212831571405537
0.58,0.019371663222572624,-0.01562564645078364,0.7571805379533643
0.59,0.01920587371353886,-0.017529528182994667,0.6918342600692403
0.6,0.019021130325903073,-0.019416110387254663,0.6253286688919614
0.61,0.01881761537908451,-0.021283531234697853,0.5577484596668872
0.62,0.01859552971776503,-0.023129947806404264,0.4891786256674032
0.63,0.018355092513679627,-0.02495353791213818,0.41970440481643073
0.64,0.01809654104932039,-0.026752501888629984,0.34941122484651355
0.65,0.01782013048376736,-0.02852506437562638,0.2783846471014002
0.66,0.01752613360087727,-0.030269476067956814,0.20671030908143057
0.67,0.017214840540078873,-0.03198401544188628,0.1344738658344008
0.68,0.0168865585100403,-0.03366699045405162,0.06176093029292154
0.6900000000000001,0.016541611485491235,-0.03531674021130379,-0.011342987341402919
0.7000000000000001,0.016180339887498948,-0.03693163660980913,-0.08475254106736506
0.71,0.015803100247513812,-0.03851008594179111,-0.15838261130825268
0.72,0.015410264855515785,-0.04005053046832759,-0.23214836779257775
0.73,0.015002221392609193,-0.04155144995665094,-0.3059653329941765
0.74,0.014579372548428228,-0.04301136318043445,-0.3797494460352783
0.75,0.014142135623730952,-0.044428829381583664,-0.4534171269570345
0.76,0.013690942118573777,-0.045802449692090824,-0.5268853412629347
0.77,0.013226237306473036,-0.04713086851454867,-0.6000716646415146
0.78,0.012748479794973797,-0.048412774859961365,-0.6728943477757767
0.79,0.012258141073059527,-0.049646903641532424,-0.7452723811478105
0.8,0.011755705045849465,-0.05083203692315259,-0.8171255597482032
0.81,0.01124166755704261,-0.051967005121355825,-0.8883745476009868
0.8200000000000001,0.010716535899579934,-0.05305068815955682,-0.958940942016061
0.8300000000000001,0.010180828315007422,-0.05408201657343154,-1.0287473374822815
0.84,0.009635073482034313,-0.055059972566349265,-1.0977173891156888
0.85,0.009079809994790937,-0.05598359101381505,-1.1657758755786913
0.86,0.008515585831301457,-0.05685196041593106,-1.2328487613874057
