time,strain,strain_rate,stress
0.0,0.02,0.0,4.0
0.1,0.02,0.0,2.6812801841425573
0.2,0.02,0.0,1.7973158564688863
0.30000000000000004,0.02,0.0,1.204776847648808
0.4,0.02,0.0,0.8075860719786215
0.5,0.02,0.0,0.5413411329464508
0.6000000000000001,0.02,0.0,0.3628718131576499
0.7000000000000001,0.02,0.0,0.2432402505008718
0.8,0.02,0.0,0.16304881591346485
0.9,0.02,0.0,0.10929488978917024
1.0,0.02,0.0,0.07326255555493671
1.1,0.02,0.0,0.049109359612273744
1.2000000000000002,0.02,0.0,0.03291898819608009
1.3,0.02,0.0,0.022066257683043086
1.4000000000000001,0.02,0.0,0.014791454865931716
1.5,0.02,0.0,0.009915008706665434
1.6,0.02,0.0,0.006646229092695736
1.7000000000000002,0.02,0.0,0.0044551005913792095
1.8,0.02,0.0,0.002986343233506717
1.9000000000000001,0.02,0.0,0.0020018057337624416
2.0,0.02,0.0,0.0013418505116100474
2.1,0.02,0.0,0.0008994692967153928
2.2,0.02,0.0,0.000602932300381906
2.3000000000000003,0.02,0.0,0.00040415760734837297
2.4000000000000004,0.02,0.0,0.0002709149459634151
2.5,0.02,0.0,0.00018159971904993942
2.6,0.02,0.0,0.0001217299320336145
2.7,0.02,0.0,8.159801364468769e-05
2.8000000000000003,0.02,0.0,5.469678426272375e-05
2.9000000000000004,0.02,0.0,3.666435094499041e-05
3.0,0.02,0.0,2.457684941331284e-05
3.1,0.02,0.0,1.6474354830142833e-05
3.2,0.02,0.0,1.1043090288148795e-05
3.3000000000000003,0.02,0.0,7.402404790327619e-06
3.4000000000000004,0.02,0.0,4.961980319826845e-06
3.5,0.02,0.0,3.3261148764142715e-06
3.6,0.02,0.0,2.2295614770778382e-06
3.7,0.02,0.0,1.494519751954104e-06
3.8000000000000003,0.02,0.0,1.0018065489310469e-06
3.9000000000000004,0.02,0.0,6.715310119982641e-07
4.0,0.02,0.0,4.5014069887703647e-07
