time,strain,strain_rate,stress
0.0,0.0,0.001,0.0
0.1,0.0001,0.001,0.020000000000000004
0.2,0.0002,0.001,0.032
0.30000000000000004,0.00030000000000000003,0.001,0.0392
0.4,0.0004,0.001,0.04352
0.5,0.0005,0.001,0.046112
0.6000000000000001,0.0006000000000000001,0.001,0.0476672
0.7000000000000001,0.0007000000000000001,0.001,0.04860032
0.8,0.0008,0.001,0.049160192000000005
0.9,0.0009000000000000001,0.001,0.0494961152
1.0,0.001,0.001,0.04969766912
1.1,0.0011,0.001,0.049818601472000006
1.2000000000000002,0.0012000000000000001,0.001,0.0498911608832
1.3,0.0013000000000000002,0.001,0.049934696529920004
1.4000000000000001,0.0014000000000000002,0.001,0.049960817917952004
1.5,0.0015,0.001,0.0499764907507712
1.6,0.0016,0.001,0.04998589445046272
1.7000000000000002,0.0017000000000000001,0.001,0.049991536670277635
1.8,0.0018000000000000002,0.001,0.049994922002166584
1.9000000000000001,0.0019000000000000002,0.001,0.04999695320129995
2.0,0.002,0.001,0.049998171920779974
2.1,0.0021000000000000003,0.001,0.04999890315246799
2.2,0.0022,0.001,0.049999341891480795
2.3000000000000003,0.0023000000000000004,0.001,0.04999960513488848
2.4000000000000004,0.0024000000000000002,0.001,0.04999976308093309
2.5,0.0025,0.001,0.049999857848559856
2.6,0.0026000000000000003,0.001,0.049999914709135916
2.7,0.0027,0.001,0.049999948825481554
2.8000000000000003,0.0028000000000000004,0.001,0.04999996929528893
2.9000000000000004,0.0029000000000000002,0.001,0.04999998157717336
3.0,0.003,0.001,0.049999988946304016
3.1,0.0031000000000000003,0.001,0.04999999336778241
3.2,0.0032,0.001,0.04999999602066944
3.3000000000000003,0.0033000000000000004,0.001,0.04999999761240167
3.4000000000000004,0.0034000000000000002,0.001,0.049999998567441
3.5,0.0035,0.001,0.0499999991404646
3.6,0.0036000000000000003,0.001,0.04999999948427876
3.7,0.0037,0.001,0.04999999969056726
3.8000000000000003,0.0038000000000000004,0.001,0.049999999814340355
3.9000000000000004,0.0039000000000000003,0.001,0.049999999888604214
4.0,0.004,0.001,0.04999999993316253
4.1000000000000005,0.0041,0.001,0.04999999995989752
4.2,0.004200000000000001,0.001,0.049999999975938514
4.3,0.0043,0.001,0.04999999998556311
4.4,0.0044,0.001,0.04999999999133786
4.5,0.0045000000000000005,0.001,0.049999999994802716
4.6000000000000005,0.004600000000000001,0.001,0.04999999999688163
4.7,0.0047,0.001,0.04999999999812898
4.800000000000001,0.0048000000000000004,0.001,0.04999999999887739
4.9,0.004900000000000001,0.001,0.04999999999932643
5.0,0.005,0.001,0.04999999999959586
5.1000000000000005,0.0051,0.001,0.049999999999757516
5.2,0.005200000000000001,0.001,0.04999999999985451
5.300000000000001,0.005300000000000001,0.001,0.049999999999912705
5.4,0.0054,0.001,0.04999999999994762
5.5,0.0055,0.001,0.049999999999968577
5.6000000000000005,0.005600000000000001,0.001,0.04999999999998115
5.7,0.0057,0.001,0.04999999999998869
5.800000000000001,0.0058000000000000005,0.001,0.04999999999999322
5.9,0.005900000000000001,0.001,0.04999999999999593
6.0,0.006,0.001,0.04999999999999756
6.1000000000000005,0.0061,0.001,0.04999999999999854
6.2,0.006200000000000001,0.001,0.04999999999999912
6.300000000000001,0.006300000000000001,0.001,0.049999999999999475
6.4,0.0064,0.001,0.049999999999999684
6.5,0.006500000000000001,0.001,0.04999999999999981
6.6000000000000005,0.006600000000000001,0.001,0.049999999999999885
6.7,0.0067,0.001,0.04999999999999993
6.800000000000001,0.0068000000000000005,0.001,0.04999999999999996
6.9,0.006900000000000001,0.001,0.049999999999999975
7.0,0.007,0.001,0.04999999999999999
7.1000000000000005,0.0071,0.001,0.049999999999999996
7.2,0.007200000000000001,0.001,0.049999999999999996
7.300000000000001,0.007300000000000001,0.001,0.049999999999999996
7.4,0.0074,0.001,0.049999999999999996
7.5,0.0075,0.001,0.049999999999999996
7.6000000000000005,0.007600000000000001,0.001,0.049999999999999996
7.7,0.0077,0.001,0.049999999999999996
7.800000000000001,0.0078000000000000005,0.001,0.049999999999999996
7.9,0.0079,0.001,0.049999999999999996
8.0,0.008,0.001,0.049999999999999996
8.1,0.0081,0.001,0.049999999999999996
8.200000000000001,0.0082,0.001,0.049999999999999996
8.3,0.0083,0.001,0.049999999999999996
8.4,0.008400000000000001,0.001,0.049999999999999996
8.5,0.0085,0.001,0.049999999999999996
8.6,0.0086,0.001,0.049999999999999996
8.700000000000001,0.008700000000000001,0.001,0.049999999999999996
8.8,0.0088,0.001,0.049999999999999996
8.9,0.0089,0.001,0.049999999999999996
9.0,0.009000000000000001,0.001,0.049999999999999996
9.1,0.0091,0.001,0.049999999999999996
9.200000000000001,0.009200000000000002,0.001,0.049999999999999996
9.3,0.009300000000000001,0.001,0.049999999999999996
9.4,0.0094,0.001,0.049999999999999996
9.5,0.0095,0.001,0.049999999999999996
9.600000000000001,0.009600000000000001,0.001,0.049999999999999996
9.700000000000001,0.009700000000000002,0.001,0.049999999999999996
9.8,0.009800000000000001,0.001,0.049999999999999996
9.9,0.0099,0.001,0.049999999999999996
10.0,0.01,0.001,0.049999999999999996
10.100000000000001,0.010100000000000001,0.001,0.049999999999999996
10.200000000000001,0.0102,0.001,0.049999999999999996
10.3,0.0103,0.001,0.049999999999999996
10.4,0.010400000000000001,0.001,0.049999999999999996
10.5,0.0105,0.001,0.049999999999999996
10.600000000000001,0.010600000000000002,0.001,0.049999999999999996
10.700000000000001,0.010700000000000001,0.001,0.049999999999999996
10.8,0.0108,0.001,0.049999999999999996
