time,strain,strain_rate,stress
0.0,0.02,0.08,4.0
0.1,0.028,0.08000000000000002,4.0
0.2,0.036000000000000004,0.08000000000000002,4.0
0.30000000000000004,0.044000000000000004,0.08,4.0
0.4,0.052000000000000005,0.07999999999999996,4.0
0.5,0.06,0.08,4.0
0.6000000000000001,0.068,0.08000000000000007,4.0
0.7000000000000001,0.07600000000000001,0.08,4.0
0.8,0.084,0.08,4.0
0.9,0.09200000000000001,0.08,4.0
1.0,0.1,0.08,4.0
1.1,0.10800000000000001,0.08000000000000007,4.0
1.2000000000000002,0.11600000000000002,0.08,4.0
1.3,0.12400000000000001,0.07999999999999993,4.0
1.4000000000000001,0.132,0.07999999999999986,4.0
1.5,0.13999999999999999,0.07999999999999993,4.0
1.6,0.148,0.08000000000000007,4.0
1.7000000000000002,0.156,0.08000000000000007,4.0
1.8,0.164,0.08000000000000007,4.0
1.9000000000000001,0.17200000000000001,0.07999999999999993,4.0
2.0,0.18,0.07999999999999993,4.0
2.1,0.188,0.08000000000000007,4.0
2.2,0.196,0.08000000000000007,4.0
2.3000000000000003,0.20400000000000001,0.08000000000000007,4.0
2.4000000000000004,0.21200000000000002,0.07999999999999993,4.0
2.5,0.22,0.07999999999999993,4.0
2.6,0.228,0.08000000000000007,4.0
2.7,0.23600000000000002,0.08000000000000007,4.0
2.8000000000000003,0.24400000000000002,0.08000000000000021,4.0
2.9000000000000004,0.25200000000000006,0.07999999999999993,4.0
3.0,0.26,0.0799999999999998,4.0
3.1,0.268,0.08000000000000007,4.0
3.2,0.276,0.08000000000000007,4.0
3.3000000000000003,0.28400000000000003,0.08000000000000007,4.0
3.4000000000000004,0.29200000000000004,0.08000000000000007,4.0
3.5,0.30000000000000004,0.08000000000000007,4.0
3.6,0.30800000000000005,0.08000000000000007,4.0
3.7,0.31600000000000006,0.08000000000000007,4.0
3.8000000000000003,0.32400000000000007,0.08000000000000007,4.0
3.9000000000000004,0.3320000000000001,0.0799999999999998,4.0
4.0,0.34,0.08000000000000007,4.0
4.1000000000000005,0.3480000000000001,0.08000000000000007,4.0
4.2,0.35600000000000004,0.07999999999999952,4.0
4.3,0.364,0.08000000000000007,4.0
4.4,0.37200000000000005,0.08000000000000007,4.0
4.5,0.38,0.08000000000000007,4.0
4.6000000000000005,0.38800000000000007,0.08000000000000007,4.0
4.7,0.396,0.08000000000000007,4.0
4.800000000000001,0.4040000000000001,0.08000000000000007,4.0
4.9,0.41200000000000003,0.0799999999999998,4.0
5.0,0.42000000000000004,0.08000000000000007,4.0
5.1000000000000005,0.42800000000000005,0.08000000000000007,4.0
5.2,0.43600000000000005,0.08000000000000007,4.0
5.300000000000001,0.44400000000000006,0.08000000000000007,4.0
5.4,0.45200000000000007,0.0799999999999998,4.0
5.5,0.46,0.08000000000000007,4.0
5.6000000000000005,0.4680000000000001,0.08000000000000007,4.0
5.7,0.47600000000000003,0.08000000000000007,4.0
5.800000000000001,0.4840000000000001,0.08000000000000007,4.0
5.9,0.49200000000000005,0.07999999999999952,4.0
6.0,0.5,0.0799999999999998,4.0
6.1000000000000005,0.508,0.08000000000000007,4.0
6.2,0.516,0.08000000000000063,4.0
6.300000000000001,0.5240000000000001,0.08000000000000007,4.0
6.4,0.532,0.07999999999999952,4.0
6.5,0.54,0.08000000000000007,4.0
6.6000000000000005,0.548,0.08000000000000007,4.0
6.7,0.556,0.08000000000000007,4.0
6.800000000000001,0.5640000000000001,0.08000000000000007,4.0
6.9,0.5720000000000001,0.08000000000000007,4.0
7.0,0.5800000000000001,0.08000000000000007,4.0
7.1000000000000005,0.5880000000000001,0.08000000000000007,4.0
7.2,0.5960000000000001,0.08000000000000007,4.0
7.300000000000001,0.6040000000000001,0.08000000000000007,4.0
7.4,0.6120000000000001,0.07999999999999952,4.0
7.5,0.62,0.08000000000000007,4.0
7.6000000000000005,0.6280000000000001,0.08000000000000007,4.0
7.7,0.636,0.08000000000000007,4.0
7.800000000000001,0.6440000000000001,0.08000000000000007,4.0
7.9,0.652,0.07999999999999952,4.0
8.0,0.66,0.08000000000000007,4.0
8.1,0.668,0.08000000000000063,4.0
8.200000000000001,0.6760000000000002,0.08000000000000007,4.0
8.3,0.684,0.07999999999999952,4.0
8.4,0.6920000000000001,0.08000000000000007,4.0
8.5,0.7000000000000001,0.07999999999999952,4.0
8.6,0.708,0.08000000000000007,4.0
8.700000000000001,0.7160000000000001,0.08000000000000063,4.0
8.8,0.7240000000000001,0.08000000000000007,4.0
8.9,0.7320000000000001,0.07999999999999952,4.0
9.0,0.74,0.07999999999999952,4.0
9.1,0.748,0.08000000000000063,4.0
9.200000000000001,0.7560000000000001,0.08000000000000063,4.0
9.3,0.7640000000000001,0.07999999999999952,4.0
9.4,0.772,0.07999999999999952,4.0
9.5,0.78,0.08000000000000063,4.0
9.600000000000001,0.7880000000000001,0.08000000000000063,4.0
9.700000000000001,0.7960000000000002,0.07999999999999952,4.0
9.8,0.804,0.07999999999999952,4.0
9.9,0.812,0.08000000000000007,4.0
10.0,0.8200000000000001,0.08000000000000063,4.0
10.100000000000001,0.8280000000000002,0.08000000000000007,4.0
10.200000000000001,0.8360000000000001,0.07999999999999952,4.0
10.3,0.8440000000000001,0.08000000000000007,4.0
10.4,0.8520000000000001,0.07999999999999952,4.0
10.5,0.86,0.08000000000000007,4.0
10.600000000000001,0.8680000000000001,0.08000000000000063,4.0
10.700000000000001,0.8760000000000001,0.08000000000000007,4.0
10.8,0.8840000000000001,0.07999999999999952,4.0
10.9,0.892,0.07999999999999952,4.0
